pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2019-06-15,96.1,-0.7883,6.724,Josh Bell,605137,623433,field_out,hit_into_play,NA,NA,NA,NA,6,Josh Bell pops out to third baseman Brian Anderson in foul territory.,R,L,R,MIA,PIT,X,5,popup,1,1,2019,-0.37,1.8094,0.6679,2.8287,NA,NA,668804,2,8,Top,96.89,190.61,NA,NA,595751,NA,190616_003128,4.5506,-139.518,-8.4393,-5.655,31.0258,-7.8634,3.62,1.73,NA,80,69,94.019,2410,5.17,567395,623433,595751,643265,516770,605119,500743,434158,595375,623912,55.3294,0,0,0,1,0,0,3,63,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Strategic,0
CU,2019-06-15,83.2,-0.6575,6.6765,Josh Bell,605137,623433,NA,blocked_ball,NA,NA,NA,NA,14,NA,R,L,R,MIA,PIT,B,NA,NA,0,1,2019,0.0924,0.0914,0.5944,-0.1649,NA,NA,668804,2,8,Top,NA,NA,NA,NA,595751,NA,190616_003044,2.6562,-120.6928,-9.1761,0.3043,25.9663,-29.6074,3.62,1.73,NA,NA,NA,81.718,1971,5.702,567395,623433,595751,643265,516770,605119,500743,434158,595375,623912,54.7975,NA,NA,NA,NA,NA,NA,NA,63,2,Curveball,4,3,3,4,3,4,3,4,Strategic,Strategic,NA
CU,2019-06-15,82.5,-0.7721,6.6524,Josh Bell,605137,623433,NA,called_strike,NA,NA,NA,NA,3,NA,R,L,R,MIA,PIT,S,NA,NA,0,0,2019,0.1787,0.1169,0.6158,3.4033,NA,NA,668804,2,8,Top,NA,NA,NA,NA,595751,NA,190616_003019,2.7741,-119.9367,-1.0466,1.1041,24.3428,-31.1437,3.62,1.73,NA,NA,NA,81.06,2002,5.473,567395,623433,595751,643265,516770,605119,500743,434158,595375,623912,55.0268,NA,NA,NA,NA,NA,NA,NA,63,1,Curveball,4,3,3,4,3,4,3,4,Strategic,Standard,NA
CH,2019-06-15,83.8,-3.0242,5.7284,Josh Bell,605137,641154,double,hit_into_play_no_out,NA,NA,NA,NA,7,Josh Bell doubles (26) on a fly ball to left fielder Curtis Granderson.,R,L,R,MIA,PIT,X,7,fly_ball,2,0,2019,-1.5456,0.0855,-0.5655,2.2364,NA,NA,NA,0,6,Top,32.09,93.7,NA,NA,595751,NA,190615_235018,8.8447,-121.8874,-1.8526,-17.3296,23.1335,-31.1446,3.62,1.73,351,99.4,40,84.565,1935,6.736,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,53.7635,0.124,0.23,1.25,1,1,1,3,46,3,Changeup,4,3,3,4,3,4,3,4,Strategic,Standard,1
FF,2019-06-15,93.6,-3.1026,5.8319,Josh Bell,605137,641154,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,MIA,PIT,B,NA,NA,1,0,2019,-0.8387,1.0859,-1.2713,3.4453,NA,NA,NA,0,6,Top,NA,NA,NA,NA,595751,NA,190615_234957,6.5443,-136.1994,-2.8254,-11.7625,27.8902,-18.31,3.62,1.73,NA,NA,NA,93.649,2090,6.168,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,54.3313,NA,NA,NA,NA,NA,NA,NA,46,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Standard,NA
CU,2019-06-15,76.8,-2.899,5.975,Josh Bell,605137,641154,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,MIA,PIT,B,NA,NA,0,0,2019,1.2448,0.1436,-0.2822,4.2351,NA,NA,NA,0,6,Top,NA,NA,NA,NA,595751,NA,190615_234934,3.2965,-111.6719,3.0427,9.6838,20.1435,-31.7712,3.62,1.73,NA,NA,NA,76.308,2392,5.979,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,54.5209,NA,NA,NA,NA,NA,NA,NA,46,1,Curveball,4,3,3,4,3,4,3,4,Strategic,Standard,NA
FF,2019-06-15,93.6,-3.0252,5.5668,Josh Bell,605137,641154,single,hit_into_play_score,NA,NA,NA,NA,7,Josh Bell singles on a sharp ground ball to left fielder Curtis Granderson.   Starling Marte scores.    Josh Bell to 2nd.,R,L,R,MIA,PIT,X,7,ground_ball,2,1,2019,-0.7745,0.9359,-0.3367,2.0341,NA,516782,NA,0,4,Top,108.4,134.28,NA,NA,595751,NA,190615_230005,8.7567,-136.1155,-5.5437,-11.6455,28.3279,-19.3295,3.62,1.73,19,114.2,-5,94.656,1893,6.824,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,53.6758,0.432,0.4,0.9,1,1,0,4,23,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,0
CH,2019-06-15,86.8,-2.9103,5.5527,Josh Bell,605137,641154,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,MIA,PIT,B,NA,NA,1,1,2019,-1.2716,0.4746,0.8024,0.7952,NA,516782,NA,0,4,Top,NA,NA,NA,NA,595751,NA,190615_225931,11.6244,-125.9208,-6.215,-16.0708,24.4089,-25.9922,3.62,1.73,NA,NA,NA,87.611,1894,6.866,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,53.6337,NA,NA,NA,NA,NA,NA,NA,23,3,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,NA
CH,2019-06-15,86.2,-3.0089,5.5239,Josh Bell,605137,641154,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,MIA,PIT,B,NA,NA,0,1,2019,-1.2322,0.1337,0.2394,1.1752,NA,516782,NA,0,4,Top,NA,NA,NA,NA,595751,NA,190615_225907,10.3544,-125.2365,-4.4341,-15.1952,23.4466,-30.0812,3.62,1.73,NA,NA,NA,87.181,1776,6.833,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,53.6666,NA,NA,NA,NA,NA,NA,NA,23,2,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,NA
CU,2019-06-15,78.4,-3.0072,5.5579,Josh Bell,605137,641154,NA,foul,NA,NA,NA,NA,11,NA,R,L,R,MIA,PIT,S,NA,NA,0,0,2019,1.2027,-0.4482,-0.9017,3.1328,NA,516782,NA,0,4,Top,NA,NA,NA,NA,595751,NA,190615_225820,2.3226,-114.2505,2.4601,10.1928,21.3126,-36.795,3.62,1.73,339,97.2,35,78.974,2256,6.639,567395,641154,595751,643265,516770,605119,500743,434158,595375,623912,53.8609,NA,NA,NA,NA,NA,NA,NA,23,1,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,0
