PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Stephen Curry,2016,805,1597,402,887,363,400
James Harden,2016,710,1617,236,657,720,837
Kevin Durant,2016,698,1381,186,480,447,498
DeMarcus Cousins,2016,601,1332,70,210,476,663
LeBron James,2016,737,1416,87,282,359,491
Damian Lillard,2016,618,1474,229,610,414,464
Anthony Davis,2016,560,1137,35,108,326,430
Russell Westbrook,2016,656,1444,101,341,465,573
DeMar DeRozan,2016,614,1377,47,139,555,653
Paul George,2016,605,1448,210,565,454,528
Isaiah Thomas,2016,591,1382,167,465,474,544
Klay Thompson,2016,651,1386,276,649,193,221
Carmelo Anthony,2016,567,1307,105,310,334,403
Blake Griffin,2016,301,603,6,18,141,194
Kyle Lowry,2016,512,1198,212,546,398,491
Kawhi Leonard,2016,552,1091,129,291,292,334
Jimmy Butler,2016,470,1034,64,206,395,475
Kemba Walker,2016,568,1332,182,490,371,438
CJ McCollum,2016,641,1432,197,473,187,226
Andrew Wiggins,2016,594,1294,57,190,430,565
Brook Lopez,2016,591,1158,2,14,317,403
Eric Bledsoe,2016,223,492,48,129,138,172
John Wall,2016,572,1349,115,327,272,344
Gordon Hayward,2016,521,1202,143,410,393,477
Kyrie Irving,2016,394,879,84,260,169,191
Brandon Knight,2016,371,895,120,350,156,183
Danilo Gallinari,2016,287,700,87,241,375,432
Chris Paul,2016,515,1114,122,329,294,328
Chris Bosh,2016,358,767,81,222,213,268
Dwyane Wade,2016,540,1183,7,44,322,406
Reggie Jackson,2016,540,1244,118,335,291,337
Karl-Anthony Towns,2016,625,1152,30,88,223,275
Dirk Nowitzki,2016,498,1112,126,342,250,280
Nikola Vucevic,2016,533,1046,2,9,113,150
Khris Middleton,2016,507,1143,143,361,277,312
LaMarcus Aldridge,2016,536,1045,0,16,259,302
Kobe Bryant,2016,398,1112,133,466,232,281
Jahlil Okafor,2016,397,781,1,6,133,194
Bradley Beal,2016,359,799,105,271,135,176
Rudy Gay,2016,466,1007,74,215,198,254
Paul Millsap,2016,500,1064,74,231,306,405
Ryan Anderson,2016,397,928,131,358,199,228
Giannis Antetokounmpo,2016,513,1013,28,110,296,409
Jrue Holiday,2016,410,935,87,259,182,216
Marc Gasol,2016,328,707,2,3,203,245
Pau Gasol,2016,467,995,24,69,229,289
Derrick Favors,2016,418,811,0,4,180,254
Derrick Rose,2016,447,1047,44,150,142,179
JJ Redick,2016,422,880,200,421,182,205
Andre Drummond,2016,552,1061,2,6,208,586
Kevin Love,2016,409,978,158,439,258,314
Victor Oladipo,2016,425,969,98,281,205,247
Jeff Teague,2016,432,980,110,273,261,312
Jordan Clarkson,2016,475,1099,111,318,164,204
Evan Fournier,2016,429,929,156,389,199,238
Lou Williams,2016,283,695,110,321,352,424
Greg Monroe,2016,491,940,0,1,228,308
Mike Conley,2016,294,696,78,215,191,229
Zach Randolph,2016,431,907,6,26,172,216
Eric Gordon,2016,231,551,113,293,111,125
