PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP,eFGP,PTS,TSP
Stephen Curry,2016,805,1597,402,887,363,400,0.504070131496556,0.4532130777903044,0.9075,0.6299311208515967,2375,0.6697687535250987
James Harden,2016,710,1617,236,657,720,837,0.4390847247990105,0.3592085235920852,0.8602150537634409,0.5120593692022264,2376,0.598404255319149
Kevin Durant,2016,698,1381,186,480,447,498,0.5054308472121651,0.3875,0.8975903614457831,0.5727733526430123,2029,0.6340149488788341
DeMarcus Cousins,2016,601,1332,70,210,476,663,0.4512012012012012,0.3333333333333333,0.717948717948718,0.4774774774774775,1748,0.5382701450989087
LeBron James,2016,737,1416,87,282,359,491,0.5204802259887006,0.30851063829787234,0.7311608961303462,0.5512005649717514,1920,0.5882208769392907
Damian Lillard,2016,618,1474,229,610,414,464,0.41926729986431477,0.37540983606557377,0.8922413793103449,0.4969470827679783,1879,0.5598393478571769
Anthony Davis,2016,560,1137,35,108,326,430,0.4925241864555849,0.32407407407407407,0.7581395348837209,0.5079155672823219,1481,0.5583622379731563
Russell Westbrook,2016,656,1444,101,341,465,573,0.45429362880886426,0.2961876832844575,0.8115183246073299,0.48926592797783935,1878,0.5536164893993349
DeMar DeRozan,2016,614,1377,47,139,555,653,0.4458968772694263,0.3381294964028777,0.8499234303215927,0.46296296296296297,1830,0.5497740819073256
Paul George,2016,605,1448,210,565,454,528,0.417817679558011,0.37168141592920356,0.8598484848484849,0.4903314917127072,1874,0.557631879641973
Isaiah Thomas,2016,591,1382,167,465,474,544,0.4276410998552822,0.35913978494623655,0.8713235294117647,0.4880607814761216,1823,0.5621823654216214
Klay Thompson,2016,651,1386,276,649,193,221,0.4696969696969697,0.4252696456086287,0.8733031674208145,0.5692640692640693,1771,0.5970038564224266
Carmelo Anthony,2016,567,1307,105,310,334,403,0.4338179035960214,0.3387096774193548,0.8287841191066998,0.47398622800306045,1573,0.5298722647407568
Blake Griffin,2016,301,603,6,18,141,194,0.49917081260364843,0.3333333333333333,0.7268041237113402,0.5041459369817579,749,0.5440467197396711
Kyle Lowry,2016,512,1198,212,546,398,491,0.4273789649415693,0.3882783882783883,0.8105906313645621,0.5158597662771286,1634,0.5777771491612684
Kawhi Leonard,2016,552,1091,129,291,292,334,0.5059578368469294,0.44329896907216493,0.874251497005988,0.5650779101741522,1525,0.6159326634140037
Jimmy Butler,2016,470,1034,64,206,395,475,0.45454545454545453,0.3106796116504854,0.8315789473684211,0.48549323017408125,1399,0.5627514078841512
Kemba Walker,2016,568,1332,182,490,371,438,0.4264264264264264,0.37142857142857144,0.8470319634703196,0.4947447447447447,1689,0.5538721863686448
CJ McCollum,2016,641,1432,197,473,187,226,0.4476256983240223,0.4164904862579281,0.827433628318584,0.5164106145251397,1666,0.5439325079663584
Andrew Wiggins,2016,594,1294,57,190,430,565,0.45904173106646057,0.3,0.7610619469026548,0.4810664605873261,1675,0.5429145598340465
Brook Lopez,2016,591,1158,2,14,317,403,0.5103626943005182,0.14285714285714285,0.7866004962779156,0.5112262521588946,1501,0.5620375640295959
Eric Bledsoe,2016,223,492,48,129,138,172,0.4532520325203252,0.37209302325581395,0.8023255813953488,0.5020325203252033,632,0.556651634723788
John Wall,2016,572,1349,115,327,272,344,0.4240177909562639,0.3516819571865443,0.7906976744186046,0.466641957005189,1531,0.5102108827214802
Gordon Hayward,2016,521,1202,143,410,393,477,0.4334442595673877,0.348780487804878,0.8238993710691824,0.49292845257903495,1578,0.558829362268748
Kyrie Irving,2016,394,879,84,260,169,191,0.4482366325369738,0.3230769230769231,0.8848167539267016,0.4960182025028441,1041,0.5404759926898156
Brandon Knight,2016,371,895,120,350,156,183,0.4145251396648045,0.34285714285714286,0.8524590163934426,0.48156424581005586,1018,0.5217730031162867
Danilo Gallinari,2016,287,700,87,241,375,432,0.41,0.36099585062240663,0.8680555555555556,0.47214285714285714,1036,0.5819701599856193
Chris Paul,2016,515,1114,122,329,294,328,0.4622980251346499,0.3708206686930091,0.8963414634146342,0.5170556552962298,1446,0.5745756246423803
Chris Bosh,2016,358,767,81,222,213,268,0.4667535853976532,0.36486486486486486,0.7947761194029851,0.5195567144719687,1010,0.5706730551914297
Dwyane Wade,2016,540,1183,7,44,322,406,0.45646661031276414,0.1590909090909091,0.7931034482758621,0.45942519019442096,1409,0.5173907934549513
Reggie Jackson,2016,540,1244,118,335,291,337,0.4340836012861736,0.3522388059701492,0.8635014836795252,0.4815112540192926,1489,0.5347343925072543
