Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,9,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8.5,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8.5,CALDERON Felix,PUR
M3mSB,3 - Final,XIONG Ni,CHN,1,1,3.1,8.5,CRUZ Julia,ESP
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,9,JOHNSON Bente,NOR
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8,BOUSSARD Michel,FRA
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8,CALDERON Felix,PUR
M3mSB,3 - Final,XIONG Ni,CHN,1,2,3,8,CRUZ Julia,ESP
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,JOHNSON Bente,NOR
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,CALDERON Felix,PUR
M3mSB,3 - Final,XIONG Ni,CHN,1,3,3,9,CRUZ Julia,ESP
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,BOUSSARD Michel,FRA
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,CALDERON Felix,PUR
M3mSB,3 - Final,XIONG Ni,CHN,1,4,3.4,8,CRUZ Julia,ESP
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,9,JOHNSON Bente,NOR
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8.5,CALDERON Felix,PUR
M3mSB,3 - Final,XIONG Ni,CHN,1,5,3.3,8,CRUZ Julia,ESP
M3mSB,3 - Final,XIONG Ni,CHN,1,6,3.4,7.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,XIONG Ni,CHN,1,6,3.4,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,XIONG Ni,CHN,1,6,3.4,8,BOYS Beverley,CAN
M3mSB,3 - Final,XIONG Ni,CHN,1,6,3.4,9,JOHNSON Bente,NOR
