Team,GM,Team_Payroll,Winning_Percentage,Year
Arizona DBacks,Joe Garagiola,31614500,0.401,1998
Arizona DBacks,Joe Garagiola,70496000,0.617,1999
Arizona DBacks,Joe Garagiola,81027833,0.525,2000
Arizona DBacks,Joe Garagiola,81206513,0.568,2001
Arizona DBacks,Joe Garagiola,102820000,0.605,2002
Arizona DBacks,Joe Garagiola,80640333,0.519,2003
Arizona DBacks,Joe Garagiola,70204984,0.315,2004
Arizona DBacks,Josh Byrnes,63015834,0.475,2005
Arizona DBacks,Josh Byrnes,59684226,0.469,2006
Arizona DBacks,Josh Byrnes,52067546,0.556,2007
Arizona DBacks,Josh Byrnes,66202712,0.506,2008
Arizona DBacks,Josh Byrnes,73571667,0.432,2009
Arizona DBacks,Josh Byrnes,60718167,0.401,2010
Arizona DBacks,Kevin Towers,53639833,0.58,2011
Arizona DBacks,Kevin Towers,74284833,0.5,2012
Arizona DBacks,Kevin Towers,89100500,0.5,2013
Arizona DBacks,Kevin Towers/Dave Stewart,112688666,0.395,2014
Arizona DBacks,Dave Stewart,76639242,0.488,2015
Atlanta Braves,John Schuerholz,61708000,0.654,1998
Atlanta Braves,John Schuerholz,74890000,0.636,1999
Atlanta Braves,John Schuerholz,84537836,0.586,2000
Atlanta Braves,John Schuerholz,91851687,0.543,2001
Atlanta Braves,John Schuerholz,93470367,0.631,2002
Atlanta Braves,John Schuerholz,106243667,0.623,2003
Atlanta Braves,John Schuerholz,88507788,0.593,2004
Atlanta Braves,John Schuerholz,85148582,0.556,2005
Atlanta Braves,John Schuerholz,90156876,0.488,2006
Atlanta Braves,John Schuerholz,87290833,0.519,2007
Atlanta Braves,Frank Wren,102365683,0.444,2008
Atlanta Braves,Frank Wren,96726167,0.531,2009
Atlanta Braves,Frank Wren,84423667,0.562,2010
Atlanta Braves,Frank Wren,87003192,0.549,2011
Atlanta Braves,Frank Wren,83309942,0.58,2012
Atlanta Braves,Frank Wren,89778192,0.593,2013
Atlanta Braves,Frank Wren/John Hart,110897341,0.488,2014
Atlanta Braves,John Hart,111081246,0.414,2015
Baltimore Orioles,Pat Gillick,71860921,0.488,1998
Baltimore Orioles,Frank Wren,72198363,0.481,1999
Baltimore Orioles,Syd Thrift,81447435,0.457,2000
