Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
Arizona DBacks,Joe Garagiola,31614500,0.401,1998,0.7202383806898792
Arizona DBacks,Joe Garagiola,70496000,0.617,1999,1.530313563194118
Arizona DBacks,Joe Garagiola,81027833,0.525,2000,1.4330281969854015
Arizona DBacks,Joe Garagiola,81206513,0.568,2001,1.292113164091806
Arizona DBacks,Joe Garagiola,102820000,0.605,2002,1.6826063975667043
Arizona DBacks,Joe Garagiola,80640333,0.519,2003,1.1690421520080938
Arizona DBacks,Joe Garagiola,70204984,0.315,2004,1.1285562409913807
Arizona DBacks,Josh Byrnes,63015834,0.475,2005,0.9546839863224524
Arizona DBacks,Josh Byrnes,59684226,0.469,2006,0.8260759254243004
Arizona DBacks,Josh Byrnes,52067546,0.556,2007,0.6153333126164112
Arizona DBacks,Josh Byrnes,66202712,0.506,2008,0.8280122582067959
Arizona DBacks,Josh Byrnes,73571667,0.432,2009,0.9048335761336557
Arizona DBacks,Josh Byrnes,60718167,0.401,2010,0.7200465682119123
Arizona DBacks,Kevin Towers,53639833,0.58,2011,0.6185840502426508
Arizona DBacks,Kevin Towers,74284833,0.5,2012,0.8662601972893522
Arizona DBacks,Kevin Towers,89100500,0.5,2013,0.9857802549378283
Arizona DBacks,Kevin Towers/Dave Stewart,112688666,0.395,2014,1.0668677275551115
Arizona DBacks,Dave Stewart,76639242,0.488,2015,0.6258646719548181
Atlanta Braves,John Schuerholz,61708000,0.654,1998,1.4058254913286963
Atlanta Braves,John Schuerholz,74890000,0.636,1999,1.6256976672095933
Atlanta Braves,John Schuerholz,84537836,0.586,2000,1.4951048080000802
Atlanta Braves,John Schuerholz,91851687,0.543,2001,1.4614932907750908
Atlanta Braves,John Schuerholz,93470367,0.631,2002,1.5296035547277549
Atlanta Braves,John Schuerholz,106243667,0.623,2003,1.5402134451368312
Atlanta Braves,John Schuerholz,88507788,0.593,2004,1.4227767151651518
Atlanta Braves,John Schuerholz,85148582,0.556,2005,1.2899930467232128
Atlanta Braves,John Schuerholz,90156876,0.488,2006,1.2478410086957297
Atlanta Braves,John Schuerholz,87290833,0.519,2007,1.0316014784129819
Atlanta Braves,Frank Wren,102365683,0.444,2008,1.2803106969954798
Atlanta Braves,Frank Wren,96726167,0.531,2009,1.1896031062108623
Atlanta Braves,Frank Wren,84423667,0.562,2010,1.0011661204992448
Atlanta Braves,Frank Wren,87003192,0.549,2011,1.0033362126872953
Atlanta Braves,Frank Wren,83309942,0.58,2012,0.9715050014729721
Atlanta Braves,Frank Wren,89778192,0.593,2013,0.9932780287160824
Atlanta Braves,Frank Wren/John Hart,110897341,0.488,2014,1.0499085523345737
Atlanta Braves,John Hart,111081246,0.414,2015,0.9071309393707528
Baltimore Orioles,Pat Gillick,71860921,0.488,1998,1.637128323266961
Baltimore Orioles,Frank Wren,72198363,0.481,1999,1.5672681306643266
Baltimore Orioles,Syd Thrift,81447435,0.457,2000,1.440449122305118
