Season,Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,TPM,TPA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Quincy Acy,PF,25,SAC,59,29,876,119,214,19,49,50,68,65,123,27,29,24,27,103,307
2016,Jordan Adams,SG,21,MEM,2,0,15,2,6,0,1,3,5,0,2,3,3,0,2,2,7
2016,Steven Adams,C,22,OKC,80,80,2014,261,426,0,0,114,196,219,314,62,42,89,84,223,636
2016,Arron Afflalo,SG,30,NYK,71,57,2371,354,799,91,238,110,131,23,243,144,25,10,82,142,909
2016,Alexis Ajinca,C,27,NOP,59,17,861,150,315,0,1,52,62,75,194,31,19,36,54,134,352
2016,Cole Aldrich,C,27,LAC,60,5,800,134,225,0,0,60,84,86,202,50,47,68,64,139,328
2016,LaMarcus Aldridge,PF,30,SAS,74,74,2261,536,1045,0,16,259,302,176,456,110,38,81,99,151,1331
2016,Cliff Alexander,PF,20,POR,8,0,36,5,10,0,0,0,0,2,4,0,1,2,1,1,10
2016,Lavoy Allen,PF,26,IND,79,28,1599,191,370,0,0,46,73,162,262,76,26,42,69,147,428
2016,Tony Allen,SG,34,MEM,64,57,1620,215,469,15,42,90,138,104,192,70,110,18,78,175,535
2016,Al-Farouq Aminu,SF,25,POR,82,82,2341,299,719,126,349,115,156,98,401,138,72,53,120,171,839
2016,Lou Amundson,PF,33,NYK,29,0,204,19,53,0,0,14,27,23,26,12,6,7,15,44,52
2016,Chris Andersen,C,37,TOT,27,15,402,38,72,4,14,25,36,36,62,12,15,13,9,29,105
2016,Chris Andersen,C,37,MIA,7,1,36,4,10,2,5,3,4,3,6,3,1,3,2,4,13
2016,Chris Andersen,C,37,MEM,20,14,366,34,62,2,9,22,32,33,56,9,14,10,7,25,92
2016,Alan Anderson,SG,33,WAS,13,0,192,21,59,12,37,11,15,1,26,14,4,1,2,25,65
2016,James Anderson,SG,26,SAC,51,15,721,67,178,23,86,22,29,13,73,41,21,14,42,54,179
2016,Justin Anderson,SF,22,DAL,55,9,647,71,175,22,83,44,55,18,114,29,19,25,24,45,208
2016,Kyle Anderson,SF,22,SAS,78,11,1245,138,295,12,37,62,83,25,219,123,60,29,59,97,350
2016,Ryan Anderson,PF,27,NOP,66,7,2008,397,929,131,358,199,228,131,265,73,38,25,90,109,1124
2016,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,513,1013,28,109,296,409,113,499,345,94,113,208,258,1350
2016,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6
2016,Carmelo Anthony,SF,31,NYK,72,72,2530,567,1307,105,310,334,403,98,458,299,62,38,176,180,1573
2016,Joel Anthony,C,33,DET,19,0,96,6,10,0,0,6,8,8,13,1,2,12,2,15,18
2016,Keith Appling,PG,23,ORL,5,0,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6
2016,Trevor Ariza,SF,30,HOU,81,81,2859,357,859,185,499,126,161,67,299,188,160,26,113,177,1025
2016,Darrell Arthur,PF,27,DEN,70,16,1516,221,489,45,117,40,53,86,207,96,53,48,66,185,527
2016,Omer Asik,C,29,NOP,68,64,1178,104,195,0,0,61,112,120,294,26,21,23,60,124,269
2016,D.J. Augustin,PG,28,TOT,62,0,1178,148,350,68,168,103,128,8,87,198,38,4,84,85,467
2016,D.J. Augustin,PG,28,OKC,34,0,519,46,121,24,61,26,34,5,38,66,13,2,30,41,142
2016,D.J. Augustin,PG,28,DEN,28,0,659,102,229,44,107,77,94,3,49,132,25,2,54,44,325
2016,Jeff Ayres,C,28,LAC,17,0,107,12,23,0,1,6,6,4,18,5,0,3,6,18,30
2016,Luke Babbitt,SF,26,NOP,47,13,845,122,289,44,109,39,50,25,123,53,11,7,23,90,327
2016,Cameron Bairstow,C,25,CHI,18,2,103,13,40,1,5,7,8,4,24,6,2,3,4,19,34
2016,Leandro Barbosa,SG,33,GSW,68,0,1079,171,370,39,110,52,62,28,89,82,44,10,53,107,433
2016,J.J. Barea,PG,31,DAL,74,16,1667,317,711,100,260,74,96,26,126,302,26,2,113,110,808
2016,Andrea Bargnani,C,30,BRK,46,0,634,127,279,3,16,47,57,28,69,18,4,9,26,61,304
