"Team","Year","GameMinute","Kicker","Distance","ScoreDiff","Grass","Success"
"GB",2015,29,"Crosby",34,-4,TRUE,1
"TB",2015,8,"Brindza",42,-10,TRUE,1
"OAK",2015,67,"Janikowski",31,0,TRUE,1
"BAL",2015,29,"Tucker",50,7,FALSE,1
"BUF",2015,43,"Carpenter",30,-13,FALSE,0
"DET",2015,60,"Prater",38,8,FALSE,0
"HOU",2015,10,"Novak",29,0,TRUE,1
"BAL",2015,47,"Tucker",45,-6,TRUE,0
"OAK",2015,28,"Janikowski",46,0,TRUE,1
"NYG",2015,60,"Brown",44,5,TRUE,1
"DAL",2015,10,"Bailey",30,0,FALSE,1
"ARI",2015,30,"Catanzaro",51,-24,TRUE,0
"CLE",2015,24,"Coons",34,-7,FALSE,1
"PIT",2015,50,"Boswell",36,-6,TRUE,1
"CIN",2015,24,"Nugent",44,14,TRUE,1
"KC",2015,19,"Santos",49,10,TRUE,1
"JAC",2015,67,"Myers",48,0,FALSE,0
"SD",2015,29,"Lambo",51,-17,TRUE,1
"STL",2015,8,"Zuerlein",39,7,FALSE,1
"TEN",2015,8,"Succop",51,-7,FALSE,1
"DEN",2015,47,"McManus",39,6,TRUE,1
"TEN",2015,22,"Succop",38,-14,TRUE,1
"CAR",2015,41,"Gano",48,24,TRUE,1
"CLE",2015,30,"Coons",28,-3,TRUE,1
"ATL",2015,50,"Bryant",44,3,FALSE,1
"CHI",2015,43,"Gould",51,-22,TRUE,1
"IND",2015,10,"Vinatieri",54,0,FALSE,1
"DET",2015,10,"Prater",36,-7,FALSE,1
"NYJ",2015,18,"Bullock",40,-14,FALSE,0
"CLE",2015,69,"Coons",32,0,FALSE,1
"BUF",2015,30,"Carpenter",20,7,FALSE,1
"TB",2015,5,"Barth",35,0,TRUE,1
"DET",2015,30,"Prater",59,7,TRUE,1
"TEN",2015,21,"Succop",49,-14,FALSE,1
"STL",2015,43,"Zuerlein",38,-14,FALSE,1
"ATL",2015,29,"Bryant",39,7,FALSE,1
"CAR",2015,56,"Gano",27,17,TRUE,1
"PIT",2015,10,"Boswell",44,0,FALSE,1
"SF",2015,36,"Dawson",28,-6,TRUE,1
"DAL",2015,14,"Bailey",51,-3,FALSE,1
"TB",2015,38,"Brindza",41,-1,TRUE,0
"STL",2015,70,"Zuerlein",48,0,TRUE,0
"NYG",2015,30,"Brown",40,4,FALSE,1
"NYJ",2015,58,"Bullock",41,21,FALSE,1
"SD",2015,60,"Lambo",34,0,TRUE,1
"NO",2015,60,"Forbath",50,0,FALSE,1
"JAC",2015,37,"Myers",20,0,TRUE,1
"HOU",2015,59,"Bullock",19,7,TRUE,1
"ATL",2015,34,"Bryant",48,-4,FALSE,0
"BAL",2015,26,"Tucker",36,-13,TRUE,1
"CLE",2015,30,"Coons",21,-7,TRUE,1
"ARI",2015,36,"Catanzaro",21,4,TRUE,1
"ARI",2015,11,"Catanzaro",21,-7,TRUE,1
"CLE",2015,21,"Coons",26,7,TRUE,1
"CLE",2015,59,"Coons",26,-3,TRUE,1
"CAR",2015,30,"Gano",20,-3,TRUE,1
"SF",2015,22,"Dawson",26,10,TRUE,1
"MIN",2015,10,"Walsh",24,0,FALSE,1
"KC",2015,30,"Santos",54,6,TRUE,0
"DEN",2015,54,"McManus",21,-7,TRUE,1
"TB",2015,68,"Barth",31,0,FALSE,1
"CIN",2015,54,"Nugent",52,-3,TRUE,1
"PHI",2015,7,"Parkey",30,0,FALSE,1
"CAR",2015,60,"Gano",29,8,TRUE,1
"TEN",2015,19,"Succop",49,0,TRUE,1
"GB",2015,28,"Crosby",37,-3,TRUE,1
"NO",2015,30,"Forbath",52,18,FALSE,0
"BUF",2015,40,"Carpenter",40,-10,TRUE,1
"MIN",2015,30,"Walsh",53,6,TRUE,0
"JAC",2015,23,"Myers",44,0,TRUE,0
"ATL",2015,37,"Graham",29,2,TRUE,1
"PIT",2015,28,"Boswell",39,0,FALSE,1
"DET",2015,25,"Prater",41,-7,FALSE,1
"CLE",2015,52,"Coons",36,-7,TRUE,1
"DAL",2015,13,"Bailey",50,3,FALSE,0
"GB",2015,28,"Crosby",43,-4,TRUE,1
"SD",2015,40,"Lambo",30,-10,TRUE,1
"JAC",2015,11,"Myers",51,3,TRUE,1
"DEN",2015,7,"McManus",33,0,TRUE,1
"PIT",2015,16,"Boswell",34,-7,FALSE,1
"NYJ",2015,58,"Folk",53,-10,FALSE,1
"DEN",2015,71,"McManus",34,0,TRUE,1
"WAS",2015,42,"Hopkins",33,-1,TRUE,1
"NYJ",2015,60,"Folk",55,-10,FALSE,1
"SF",2015,30,"Dawson",40,-3,FALSE,1
"TB",2015,50,"Brindza",33,-1,TRUE,0
"NYG",2015,20,"Brown",38,-7,FALSE,1
"DET",2015,7,"Prater",51,0,FALSE,1
"BAL",2015,17,"Tucker",22,-6,TRUE,1
"CLE",2015,15,"Coons",27,-7,FALSE,1
"ATL",2015,55,"Bryant",24,-10,FALSE,1
"KC",2015,18,"Santos",49,7,TRUE,1
"DAL",2015,14,"Bailey",20,0,TRUE,1
"DEN",2015,30,"McManus",51,-4,TRUE,1
"MIN",2015,50,"Walsh",39,6,TRUE,0
"SF",2015,27,"Dawson",44,1,TRUE,1
"JAC",2015,44,"Myers",26,-1,FALSE,0
"HOU",2015,29,"Bullock",43,-2,TRUE,0
"TB",2015,39,"Barth",47,-7,TRUE,0
"STL",2015,30,"Zuerlein",45,2,FALSE,1
"HOU",2015,7,"Bullock",43,0,TRUE,1
"CHI",2015,41,"Gould",51,-17,FALSE,1
"MIN",2015,60,"Walsh",27,-1,FALSE,0
"NE",2015,30,"Gostkowski",35,-4,FALSE,1
"BAL",2015,24,"Tucker",52,-6,TRUE,1
"JAC",2015,16,"Myers",42,-7,TRUE,1
"SF",2015,45,"Dawson",25,-13,FALSE,1
"DEN",2015,23,"McManus",50,14,TRUE,1
"ARI",2015,58,"Catanzaro",35,11,TRUE,1
"NYG",2015,59,"Brown",29,-1,FALSE,1
"BUF",2015,60,"Carpenter",36,6,FALSE,1
"GB",2015,56,"Crosby",33,7,TRUE,1
"JAC",2015,30,"Myers",32,0,FALSE,1
"IND",2015,35,"Vinatieri",26,-6,FALSE,1
"DEN",2015,30,"McManus",43,3,TRUE,1
"PIT",2015,60,"Boswell",18,0,TRUE,1
"IND",2015,60,"Vinatieri",24,-3,TRUE,1
"ARI",2015,30,"Catanzaro",37,-13,TRUE,1
"TB",2015,13,"Barth",38,-3,FALSE,1
"ATL",2015,58,"Bryant",47,3,TRUE,0
"CAR",2015,25,"Gano",49,10,TRUE,1
"KC",2015,30,"Santos",40,7,TRUE,1
"KC",2015,57,"Santos",37,5,TRUE,1
"OAK",2015,17,"Janikowski",29,-14,TRUE,1
"MIN",2015,48,"Walsh",54,-10,TRUE,1
"CLE",2015,7,"Coons",23,-3,TRUE,1
"STL",2015,37,"Zuerlein",35,4,FALSE,0
"TEN",2015,38,"Succop",49,-13,FALSE,1
"IND",2015,48,"Vinatieri",32,-3,FALSE,1
"SEA",2015,30,"Hauschka",21,3,FALSE,1
"SEA",2015,30,"Hauschka",55,-31,TRUE,0
"DEN",2015,57,"McManus",33,3,TRUE,1
"OAK",2015,59,"Janikowski",50,-9,TRUE,1
"KC",2015,58,"Santos",51,-18,FALSE,1
"BAL",2015,17,"Tucker",28,0,FALSE,1
"CHI",2015,44,"Gould",51,3,TRUE,0
"DET",2015,37,"Prater",37,3,FALSE,1
"JAC",2015,14,"Myers",22,-3,TRUE,1
"OAK",2015,29,"Janikowski",24,1,TRUE,1
"NYG",2015,21,"Brown",20,4,FALSE,1
"JAC",2015,16,"Myers",31,-3,TRUE,1
"CAR",2015,27,"Gano",43,7,FALSE,1
"SEA",2015,36,"Hauschka",27,0,FALSE,1
"PIT",2015,22,"Scobee",46,-7,FALSE,0
"MIN",2015,20,"Walsh",38,10,TRUE,1
"JAC",2015,12,"Myers",27,4,TRUE,1
"NO",2015,14,"Forbath",45,-7,FALSE,1
"NE",2015,8,"Gostkowski",35,0,FALSE,1
"PIT",2015,30,"Scobee",44,-14,FALSE,1
"CAR",2015,52,"Gano",47,-4,FALSE,1
"MIN",2015,12,"Walsh",37,-7,FALSE,1
"CAR",2015,38,"Gano",21,17,TRUE,1
"CAR",2015,51,"Gano",19,7,TRUE,1
"TEN",2015,10,"Succop",37,-7,TRUE,1
"NE",2015,60,"Gostkowski",47,-3,TRUE,1
"SD",2015,46,"Lambo",40,-3,TRUE,1
"BUF",2015,39,"Carpenter",32,0,FALSE,1
"SF",2015,13,"Dawson",31,3,TRUE,1
"IND",2015,44,"Vinatieri",44,4,FALSE,1
"CAR",2015,40,"Gano",33,0,FALSE,1
"CAR",2015,35,"Gano",44,-6,TRUE,0
"NYJ",2015,67,"Bullock",31,0,FALSE,1
"NYJ",2015,30,"Bullock",45,-1,FALSE,0
"DET",2015,15,"Prater",41,3,FALSE,1
"DEN",2015,51,"McManus",35,-3,TRUE,1
"PHI",2015,24,"Sturgis",34,-6,TRUE,1
"HOU",2015,30,"Novak",53,-28,FALSE,0
"OAK",2015,48,"Janikowski",47,18,TRUE,1
"NYG",2015,36,"Brown",30,7,FALSE,1
"STL",2015,41,"Zuerlein",50,-11,FALSE,0
"BAL",2015,50,"Tucker",40,-6,TRUE,1
"STL",2015,23,"Zuerlein",33,0,FALSE,1
"NO",2015,58,"Forbath",28,19,FALSE,0
"ARI",2015,30,"Catanzaro",43,12,FALSE,1
"NE",2015,17,"Gostkowski",31,0,FALSE,1
"WAS",2015,35,"Hopkins",36,0,TRUE,1
"STL",2015,27,"Zuerlein",30,1,TRUE,1
"WAS",2015,53,"Hopkins",35,-6,TRUE,1
"DAL",2015,20,"Bailey",53,0,TRUE,1
"CAR",2015,70,"Gano",52,0,TRUE,1
"SF",2015,8,"Dawson",53,0,TRUE,1
"PIT",2015,49,"Scobee",24,-10,FALSE,1
"PHI",2015,58,"Parkey",44,-2,FALSE,0
"DEN",2015,39,"McManus",52,-1,TRUE,1
"HOU",2015,58,"Novak",32,3,FALSE,1
"DET",2015,30,"Prater",51,6,FALSE,1
"WAS",2015,58,"Hopkins",28,1,FALSE,1
"KC",2015,33,"Santos",46,10,TRUE,0
"WAS",2015,30,"Hopkins",45,-3,TRUE,1
"DEN",2015,34,"McManus",20,-4,TRUE,1
"WAS",2015,8,"Hopkins",20,0,TRUE,1
"NYJ",2015,11,"Bullock",29,0,FALSE,1
"ARI",2015,40,"Catanzaro",28,-6,TRUE,1
"MIN",2015,60,"Walsh",36,0,TRUE,1
"STL",2015,27,"Zuerlein",35,-1,FALSE,1
"OAK",2015,41,"Janikowski",48,-2,FALSE,1
"PIT",2015,35,"Boswell",34,6,FALSE,1
"SF",2015,26,"Dawson",44,-10,TRUE,1
"GB",2015,58,"Crosby",28,4,FALSE,1
"DEN",2015,26,"McManus",29,6,TRUE,1
"IND",2015,8,"Vinatieri",25,-3,TRUE,1
"MIN",2015,51,"Walsh",27,29,FALSE,1
"CHI",2015,4,"Gould",55,0,TRUE,1
"CIN",2015,43,"Nugent",42,-4,TRUE,0
"PHI",2015,45,"Sturgis",29,13,TRUE,1
"WAS",2015,28,"Hopkins",54,-3,FALSE,1
"DEN",2015,12,"McManus",41,3,TRUE,1
"BAL",2015,36,"Tucker",44,1,TRUE,1
"PIT",2015,37,"Boswell",25,18,TRUE,1
"MIA",2015,29,"Franks",36,4,TRUE,1
"DAL",2015,29,"Bailey",35,-7,FALSE,1
"DET",2015,53,"Prater",42,6,FALSE,1
